"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2016-05-17 18:30","문학","롯데",3,7,"SK","패","승","정규시즌"
"2016-05-17 18:30","수원","LG",9,7,"KT","승","패","정규시즌"
"2016-05-17 18:30","포항","한화",4,5,"삼성","패","승","정규시즌"
"2016-05-18 18:30","고척","NC",6,9,"넥센","패","승","정규시즌"
"2016-05-18 18:30","잠실","기아",5,15,"두산","패","승","정규시즌"
"2016-05-18 18:30","문학","롯데",3,5,"SK","패","승","정규시즌"
"2016-05-18 18:30","수원","LG",6,2,"KT","승","패","정규시즌"
"2016-05-18 18:30","포항","한화",2,13,"삼성","패","승","정규시즌"
"2016-05-19 18:30","고척","NC",6,2,"넥센","승","패","정규시즌"
"2016-05-19 18:30","잠실","기아",3,8,"두산","패","승","정규시즌"
"2016-05-19 18:30","문학","롯데",4,3,"SK","승","패","정규시즌"
"2016-05-19 18:30","수원","LG",4,0,"KT","승","패","정규시즌"
"2016-05-19 18:30","포항","한화",9,6,"삼성","승","패","정규시즌"
"2016-05-20 18:30","잠실","넥센",3,4,"LG","패","승","정규시즌"
"2016-05-20 18:30","대전","KT",2,11,"한화","패","승","정규시즌"
"2016-05-20 18:30","광주","SK",4,5,"기아","패","승","정규시즌"
"2016-05-20 18:30","사직","두산",19,5,"롯데","승","패","정규시즌"
"2016-05-20 18:30","마산","삼성",12,2,"NC","승","패","정규시즌"
"2016-05-21 17:00","잠실","넥센",7,5,"LG","승","패","정규시즌"
"2016-05-21 17:00","대전","KT",8,8,"한화","무","무","정규시즌"
"2016-05-21 17:00","광주","SK",8,7,"기아","승","패","정규시즌"
"2016-05-21 17:00","사직","두산",6,4,"롯데","승","패","정규시즌"
"2016-05-21 17:00","마산","삼성",2,10,"NC","패","승","정규시즌"
"2016-05-22 14:00","대전","KT",18,7,"한화","승","패","정규시즌"
"2016-05-22 14:00","광주","SK",4,7,"기아","패","승","정규시즌"
"2016-05-22 14:00","사직","두산",4,10,"롯데","패","승","정규시즌"
"2016-05-22 14:00","마산","삼성",8,9,"NC","패","승","정규시즌"
"2016-05-22 17:00","잠실","넥센",4,5,"LG","패","승","정규시즌"
"2016-05-24 18:30","고척","한화",1,2,"넥센","패","승","정규시즌"
"2016-05-24 18:30","잠실","KT",5,8,"두산","패","승","정규시즌"
"2016-05-24 18:30","대구","기아",4,2,"삼성","승","패","정규시즌"
"2016-05-25 18:30","고척","한화",8,9,"넥센","패","승","정규시즌"
"2016-05-25 18:30","잠실","KT",10,13,"두산","패","승","정규시즌"
"2016-05-25 18:30","대구","기아",3,6,"삼성","패","승","정규시즌"
"2016-05-25 18:30","마산","SK",0,5,"NC","패","승","정규시즌"
"2016-05-25 18:30","울산","LG",1,2,"롯데","패","승","정규시즌"
"2016-05-26 18:30","고척","한화",7,6,"넥센","승","패","정규시즌"
"2016-05-26 18:30","잠실","KT",3,6,"두산","패","승","정규시즌"
"2016-05-26 18:30","대구","기아",9,2,"삼성","승","패","정규시즌"
"2016-05-26 18:30","마산","SK",9,6,"NC","승","패","정규시즌"
"2016-05-26 18:30","울산","LG",4,7,"롯데","패","승","정규시즌"
"2016-05-27 18:30","잠실","LG",1,5,"두산","패","승","정규시즌"
"2016-05-27 18:30","문학","삼성",2,8,"SK","패","승","정규시즌"
"2016-05-27 18:30","대전","롯데",7,11,"한화","패","승","정규시즌"
"2016-05-27 18:30","광주","NC",13,7,"기아","승","패","정규시즌"
"2016-05-27 18:30","수원","넥센",0,8,"KT","패","승","정규시즌"
"2016-05-28 17:00","잠실","LG",2,3,"두산","패","승","정규시즌"
"2016-05-28 17:00","문학","삼성",15,1,"SK","승","패","정규시즌"
"2016-05-28 17:00","대전","롯데",6,9,"한화","패","승","정규시즌"
"2016-05-28 17:00","광주","NC",13,5,"기아","승","패","정규시즌"
"2016-05-28 17:00","수원","넥센",3,1,"KT","승","패","정규시즌"
"2016-05-29 14:00","잠실","LG",16,8,"두산","승","패","정규시즌"
"2016-05-29 14:00","문학","삼성",9,6,"SK","승","패","정규시즌"
"2016-05-29 14:00","광주","NC",9,8,"기아","승","패","정규시즌"
"2016-05-29 14:00","수원","넥센",5,2,"KT","승","패","정규시즌"
"2016-05-29 17:00","대전","롯데",2,9,"한화","패","승","정규시즌"
"2016-05-31 18:30","고척","삼성",4,1,"넥센","승","패","정규시즌"
"2016-05-31 18:30","잠실","기아",6,6,"LG","무","무","정규시즌"
"2016-05-31 18:30","대전","SK",4,8,"한화","패","승","정규시즌"
"2016-05-31 18:30","사직","KT",5,9,"롯데","패","승","정규시즌"
"2016-05-31 18:30","마산","두산",6,5,"NC","승","패","정규시즌"
"2016-06-01 18:30","고척","삼성",4,6,"넥센","패","승","정규시즌"
"2016-06-01 18:30","잠실","기아",5,1,"LG","승","패","정규시즌"
"2016-06-01 18:30","대전","SK",7,2,"한화","승","패","정규시즌"
"2016-06-01 18:30","사직","KT",0,2,"롯데","패","승","정규시즌"
"2016-06-01 18:30","마산","두산",1,5,"NC","패","승","정규시즌"
"2016-06-02 18:30","고척","삼성",14,6,"넥센","승","패","정규시즌"
"2016-06-02 18:30","잠실","기아",1,9,"LG","패","승","정규시즌"
"2016-06-02 18:30","대전","SK",1,4,"한화","패","승","정규시즌"
"2016-06-02 18:30","사직","KT",2,1,"롯데","승","패","정규시즌"
"2016-06-02 18:30","마산","두산",3,4,"NC","패","승","정규시즌"
"2016-06-03 18:30","잠실","SK",1,4,"두산","패","승","정규시즌"
"2016-06-03 18:30","대구","한화",4,3,"삼성","승","패","정규시즌"
"2016-06-03 18:30","광주","넥센",9,1,"기아","승","패","정규시즌"
"2016-06-03 18:30","사직","NC",5,3,"롯데","승","패","정규시즌"
"2016-06-03 18:30","수원","LG",2,3,"KT","패","승","정규시즌"
"2016-06-04 17:00","잠실","SK",6,7,"두산","패","승","정규시즌"
