"경기날짜및시간","구장","원정팀","원정팀점수","홈팀점수","홈팀","비고"
"2011-08-03 18:30","잠실","KIA",4,5,"두산","정규시즌"
"2011-08-03 18:30","문학","LG",4,5,"SK","정규시즌"
"2011-08-03 18:30","대구","넥센",2,3,"삼성","정규시즌"
"2011-08-04 18:30","잠실","KIA",2,1,"두산","정규시즌"
"2011-08-04 18:30","문학","LG",1,9,"SK","정규시즌"
"2011-08-04 18:30","대전","롯데",9,1,"한화","정규시즌"
"2011-08-04 18:30","대구","넥센",0,2,"삼성","정규시즌"
"2011-08-05 18:30","잠실","한화",0,8,"LG","정규시즌"
"2011-08-05 18:30","목동","두산",5,8,"넥센","정규시즌"
"2011-08-05 18:30","문학","KIA",2,4,"SK","정규시즌"
"2011-08-05 18:30","사직","삼성",2,0,"롯데","정규시즌"
