"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2018-06-19 18:30","수원","롯데",9,7,"KT","정규시즌"
"2018-06-20 18:30","잠실","넥센",8,5,"두산","정규시즌"
"2018-06-20 18:30","대구","SK",4,6,"삼성","정규시즌"
"2018-06-20 18:30","광주","NC",5,6,"기아","정규시즌"
"2018-06-20 18:30","청주","LG",7,4,"KT","정규시즌"
"2018-06-20 18:30","수원","롯데",11,11,"한화","정규시즌"
"2018-06-21 18:30","잠실","넥센",3,9,"두산","정규시즌"
"2018-06-21 18:30","대구","SK",5,1,"삼성","정규시즌"
"2018-06-21 18:30","광주","NC",7,4,"기아","정규시즌"
"2018-06-21 18:30","청주","LG",6,9,"한화","정규시즌"
"2018-06-21 18:30","수원","롯데",5,5,"KT","정규시즌"
"2018-06-22 18:30","고척","기아",8,5,"넥센","정규시즌"
"2018-06-22 18:30","잠실","롯데",1,2,"LG","정규시즌"
"2018-06-22 18:30","대구","한화",5,0,"NC","정규시즌"
"2018-06-22 18:30","마산","두산",14,9,"KT","정규시즌"
"2018-06-22 18:30","수원","SK",13,16,"삼성","정규시즌"
"2018-06-23 17:00","고척","기아",4,9,"넥센","정규시즌"
"2018-06-23 17:00","잠실","롯데",8,4,"삼성","정규시즌"
"2018-06-23 17:00","대구","한화",8,1,"NC","정규시즌"
"2018-06-23 17:00","마산","SK",7,4,"KT","정규시즌"
"2018-06-23 17:00","수원","두산",11,18,"LG","정규시즌"
"2018-06-24 17:00","고척","롯데",2,2,"LG","정규시즌"
"2018-06-24 17:00","잠실","한화",5,7,"삼성","정규시즌"
"2018-06-24 17:00","대구","SK",0,3,"NC","정규시즌"
"2018-06-24 17:00","마산","기아",14,4,"KT","정규시즌"
"2018-06-24 17:00","수원","두산",12,10,"넥센","정규시즌"
